Rank	School	AIS	STC	AC/VV	SLSDC	DS	APIIT	RI	SJC	RC	SBC	LC	AC		Total
Category		M	M												
1	Royal College, Colombo	4	8	8	8	8	8	4	4	2	6	6	2		68
2	D. S. Senanayake College, Colombo	6	2		6	4	1	2	2	8	2	4	8		45
3	Trinity College, Kandy	2	4		1	6	4	4	4	6	2	2	4		39
4	Ladies' College, Colombo	2	1	2	2	2	2	6	8	2	1	4	6		38
5	Asian International School	4	6	4	4	2	1	2			4	2	4		33
5	Colombo International School	4	1		1	1	2		2	4	8	8	2		33
7	St Bridget's Convent, Colombo		2	2	2	2	1	2	6	4	4	1	2		28
8	Elizabeth Moir School, Colombo	8		4	1		6			2	1		2		24
9	Bishop's College, Colombo		2		1	1	1	8		2	2		1		18
10	St. Thomas' College, Mount Lavinia	2	4		1		1		2		4	1			15
10	Hillwood College Kandy	1	2	2	2	2	2				1	2	1		15
12	Gateway College, Dehiwala		1	2	4	1	4				1	1			14
13	Visakha Vidyalaya, Colombo			1	1	1	1			2	1	4			11
14	Ananda College, Colombo			1								2	4		7
15	Methodist College, Colombo			6											6
16	St. Joseph's College Colombo 10								4						4
17	British School, Colombo										2		1		3
18	Musaeus College, Colombo 7	1													1
18	Stafford International School	1													1
20	Dharmaraja College Kandy														0
20	Lyceum International School, Wattala														0
20	Wycherly International School														0
20	Sanghamiththa Balika Vidyalaya Galle														0
20	Anula Vidyalaya, Nugegoda														0
20	De Mazenod College														0
20	Devi Balika Vidyalaya, Colombo														0
20	Gateway College, Kandy														0
20	Good Shepherd Convent Kandy														0
20	Highlands College Maharagama														0
20	Hindu College, Jaffna														0
20	Holy Family Convent, Colombo														0
20	Kandy Girls' High School														0
20	Kurunegala Maliyadeva Balika Vidyalaya														0
20	Lyceum International School, Gampaha														0
20	Lyceum International School, Nugegoda														0
20	Mahamaya Girls College Kandy														0
20	Rahula College, Matara														0
20	RIC Kurunegala														0
20	Wesley College, Colombo														0
